Time,Total documents in group,Topic,Fractional documents in topic in group
122,7,Topic 00,0.0
122,7,Topic 01,0.08333333333333333
122,7,Topic 02,0.09666666666666666
122,7,Topic 03,0.3833333333333333
122,7,Topic 04,0.15
122,7,Topic 05,0.0
122,7,Topic 06,0.03666666666666667
122,7,Topic 07,0.4095238095238095
122,7,Topic 08,0.13999999999999999
122,7,Topic 09,0.14285714285714285
122,7,Topic 10,0.16666666666666666
122,7,Topic 11,0.33333333333333337
122,7,Topic 12,0.21428571428571427
122,7,Topic 13,0.7742857142857142
122,7,Topic 14,0.19619047619047617
122,7,Topic 15,0.0
122,7,Topic 16,0.04
122,7,Topic 17,0.08571428571428572
122,7,Topic 18,0.4809523809523809
122,7,Topic 19,0.016666666666666666
122,7,Topic 20,0.6266666666666667
122,7,Topic 21,0.0
122,7,Topic 22,0.0
122,7,Topic 23,0.2833333333333333
122,7,Topic 24,0.7761904761904762
122,7,Topic 25,0.3619047619047619
122,7,Topic 26,0.6966666666666667
122,7,Topic 27,0.3609523809523809
122,7,Topic 28,0.06666666666666667
122,7,Topic 29,0.07714285714285715
123,3,Topic 00,0.2
123,3,Topic 01,0.0
123,3,Topic 02,0.028571428571428574
123,3,Topic 03,0.2639285714285714
123,3,Topic 04,0.0
123,3,Topic 05,0.0
123,3,Topic 06,0.0875
123,3,Topic 07,0.0125
123,3,Topic 08,0.225
123,3,Topic 09,0.14285714285714285
123,3,Topic 10,0.145
123,3,Topic 11,0.14285714285714285
123,3,Topic 12,0.0125
123,3,Topic 13,0.18214285714285713
123,3,Topic 14,0.17535714285714285
123,3,Topic 15,0.045
123,3,Topic 16,0.0
123,3,Topic 17,0.02
123,3,Topic 18,0.0
123,3,Topic 19,0.0
123,3,Topic 20,0.1410714285714286
123,3,Topic 21,0.1285714285714286
123,3,Topic 22,0.05714285714285715
123,3,Topic 23,0.0
123,3,Topic 24,0.0
123,3,Topic 25,0.0
123,3,Topic 26,0.6224999999999999
123,3,Topic 27,0.28
123,3,Topic 28,0.0
123,3,Topic 29,0.0875
124,5,Topic 00,0.2833333333333333
124,5,Topic 01,0.13999999999999999
124,5,Topic 02,0.13333333333333333
124,5,Topic 03,0.24166666666666664
124,5,Topic 04,0.1311111111111111
124,5,Topic 05,0.0
124,5,Topic 06,0.2
124,5,Topic 07,0.4916666666666667
124,5,Topic 08,0.075
124,5,Topic 09,0.011111111111111112
124,5,Topic 10,0.06666666666666667
124,5,Topic 11,0.49444444444444446
124,5,Topic 12,0.0
124,5,Topic 13,0.41333333333333333
124,5,Topic 14,0.31666666666666665
124,5,Topic 15,0.1111111111111111
124,5,Topic 16,0.15
124,5,Topic 17,0.17777777777777776
124,5,Topic 18,0.46277777777777773
124,5,Topic 19,0.09722222222222222
124,5,Topic 20,0.016666666666666666
124,5,Topic 21,0.0
124,5,Topic 22,0.275
124,5,Topic 23,0.03333333333333333
124,5,Topic 24,0.016666666666666666
124,5,Topic 25,0.18333333333333332
124,5,Topic 26,0.24166666666666664
124,5,Topic 27,0.075
124,5,Topic 28,0.15
124,5,Topic 29,0.011111111111111112
125,6,Topic 00,0.2963095238095238
125,6,Topic 01,0.14166666666666666
125,6,Topic 02,0.19
125,6,Topic 03,0.0
125,6,Topic 04,0.0
125,6,Topic 05,0.19666666666666666
125,6,Topic 06,0.6466666666666667
125,6,Topic 07,0.3795238095238096
125,6,Topic 08,0.5009523809523809
125,6,Topic 09,0.3416666666666666
125,6,Topic 10,0.12142857142857143
125,6,Topic 11,0.23095238095238096
125,6,Topic 12,0.0
125,6,Topic 13,0.2755952380952381
125,6,Topic 14,0.016666666666666666
125,6,Topic 15,0.2628571428571429
125,6,Topic 16,0.03333333333333333
125,6,Topic 17,0.32
125,6,Topic 18,0.6280952380952382
125,6,Topic 19,0.03666666666666667
125,6,Topic 20,0.014285714285714287
125,6,Topic 21,0.037500000000000006
125,6,Topic 22,0.2625
125,6,Topic 23,0.0
125,6,Topic 24,0.16666666666666666
125,6,Topic 25,0.255
125,6,Topic 26,0.31999999999999995
125,6,Topic 27,0.05
125,6,Topic 28,0.225
125,6,Topic 29,0.05
126,4,Topic 00,0.04
126,4,Topic 01,0.0
126,4,Topic 02,0.1
126,4,Topic 03,0.3
126,4,Topic 04,0.057499999999999996
126,4,Topic 05,0.16
126,4,Topic 06,0.305
126,4,Topic 07,0.08499999999999999
126,4,Topic 08,0.27
126,4,Topic 09,0.0125
126,4,Topic 10,0.1075
126,4,Topic 11,0.38250000000000006
126,4,Topic 12,0.0
126,4,Topic 13,0.0875
126,4,Topic 14,0.0
126,4,Topic 15,0.2
126,4,Topic 16,0.38
126,4,Topic 17,0.12
126,4,Topic 18,0.0
126,4,Topic 19,0.16
126,4,Topic 20,0.24000000000000002
126,4,Topic 21,0.04
126,4,Topic 22,0.0
126,4,Topic 23,0.0
126,4,Topic 24,0.02
126,4,Topic 25,0.1075
126,4,Topic 26,0.5925
126,4,Topic 27,0.0
126,4,Topic 28,0.12
126,4,Topic 29,0.1125
127,1,Topic 00,0.0
127,1,Topic 01,0.0
127,1,Topic 02,0.0
127,1,Topic 03,0.0
127,1,Topic 04,0.0
127,1,Topic 05,0.6000000000000001
127,1,Topic 06,0.0
127,1,Topic 07,0.0
127,1,Topic 08,0.02
127,1,Topic 09,0.0
127,1,Topic 10,0.0
127,1,Topic 11,0.0
127,1,Topic 12,0.0
127,1,Topic 13,0.0
127,1,Topic 14,0.18
127,1,Topic 15,0.02
127,1,Topic 16,0.0
127,1,Topic 17,0.0
127,1,Topic 18,0.0
127,1,Topic 19,0.0
127,1,Topic 20,0.0
127,1,Topic 21,0.0
127,1,Topic 22,0.0
127,1,Topic 23,0.0
127,1,Topic 24,0.0
127,1,Topic 25,0.18
127,1,Topic 26,0.0
127,1,Topic 27,0.0
127,1,Topic 28,0.0
127,1,Topic 29,0.0
128,4,Topic 00,0.0
128,4,Topic 01,0.13999999999999999
128,4,Topic 02,0.025
128,4,Topic 03,0.1325
128,4,Topic 04,0.1125
128,4,Topic 05,0.25
128,4,Topic 06,0.1325
128,4,Topic 07,0.0125
128,4,Topic 08,0.0
128,4,Topic 09,0.1925
128,4,Topic 10,0.0125
128,4,Topic 11,0.275
128,4,Topic 12,0.12
128,4,Topic 13,0.0
128,4,Topic 14,0.525
128,4,Topic 15,0.23249999999999998
128,4,Topic 16,0.125
128,4,Topic 17,0.345
128,4,Topic 18,0.02
128,4,Topic 19,0.18
128,4,Topic 20,0.06
128,4,Topic 21,0.06
128,4,Topic 22,0.21250000000000002
128,4,Topic 23,0.0
128,4,Topic 24,0.1075
128,4,Topic 25,0.1975
128,4,Topic 26,0.12
128,4,Topic 27,0.22
128,4,Topic 28,0.1325
128,4,Topic 29,0.057499999999999996
129,8,Topic 00,0.6995129870129869
129,8,Topic 01,0.2305194805194805
129,8,Topic 02,0.016666666666666666
129,8,Topic 03,0.4357142857142857
129,8,Topic 04,0.10340909090909091
129,8,Topic 05,0.10757575757575757
129,8,Topic 06,0.08392857142857144
129,8,Topic 07,0.6976190476190476
129,8,Topic 08,0.23809523809523808
129,8,Topic 09,0.14285714285714288
129,8,Topic 10,0.0
129,8,Topic 11,0.5246212121212122
129,8,Topic 12,0.7119047619047619
129,8,Topic 13,1.005952380952381
129,8,Topic 14,0.4218614718614718
129,8,Topic 15,0.4867424242424242
129,8,Topic 16,0.1976190476190476
129,8,Topic 17,0.32619047619047614
129,8,Topic 18,0.4833333333333333
129,8,Topic 19,0.15714285714285714
129,8,Topic 20,0.07142857142857144
129,8,Topic 21,0.075
129,8,Topic 22,0.0
129,8,Topic 23,0.0
129,8,Topic 24,0.009090909090909092
129,8,Topic 25,0.030952380952380953
129,8,Topic 26,0.016666666666666666
129,8,Topic 27,0.016666666666666666
129,8,Topic 28,0.5696428571428571
129,8,Topic 29,0.1392857142857143
130,4,Topic 00,0.07142857142857142
130,4,Topic 01,0.2
130,4,Topic 02,0.16
130,4,Topic 03,0.125
130,4,Topic 04,0.0125
130,4,Topic 05,0.12678571428571428
130,4,Topic 06,0.0325
130,4,Topic 07,0.37142857142857144
130,4,Topic 08,0.21250000000000002
130,4,Topic 09,0.1375
130,4,Topic 10,0.18
130,4,Topic 11,0.0
130,4,Topic 12,0.42857142857142855
130,4,Topic 13,0.40535714285714286
130,4,Topic 14,0.0
130,4,Topic 15,0.21250000000000002
130,4,Topic 16,0.0
130,4,Topic 17,0.26785714285714285
130,4,Topic 18,0.014285714285714287
130,4,Topic 19,0.0125
130,4,Topic 20,0.0
130,4,Topic 21,0.0
130,4,Topic 22,0.3539285714285715
130,4,Topic 23,0.0125
130,4,Topic 24,0.15000000000000002
130,4,Topic 25,0.02
130,4,Topic 26,0.05
130,4,Topic 27,0.42857142857142855
130,4,Topic 28,0.014285714285714287
130,4,Topic 29,0.0
131,4,Topic 00,0.81
131,4,Topic 01,0.03428571428571429
131,4,Topic 02,0.049999999999999996
131,4,Topic 03,0.1561904761904762
131,4,Topic 04,0.030952380952380953
131,4,Topic 05,0.1285714285714286
131,4,Topic 06,0.19523809523809524
131,4,Topic 07,0.0
131,4,Topic 08,0.08095238095238096
131,4,Topic 09,0.1285714285714286
131,4,Topic 10,0.016666666666666666
131,4,Topic 11,0.0
131,4,Topic 12,0.0
131,4,Topic 13,0.0
131,4,Topic 14,0.16666666666666666
131,4,Topic 15,0.7000000000000001
131,4,Topic 16,0.0
131,4,Topic 17,0.3542857142857143
131,4,Topic 18,0.14666666666666667
131,4,Topic 19,0.06666666666666667
131,4,Topic 20,0.40333333333333327
131,4,Topic 21,0.03333333333333333
131,4,Topic 22,0.0
131,4,Topic 23,0.0
131,4,Topic 24,0.3
131,4,Topic 25,0.014285714285714287
131,4,Topic 26,0.16666666666666666
131,4,Topic 27,0.0
131,4,Topic 28,0.0
131,4,Topic 29,0.016666666666666666
132,5,Topic 00,0.0
132,5,Topic 01,0.016666666666666666
132,5,Topic 02,0.02
132,5,Topic 03,0.19999999999999998
132,5,Topic 04,0.05
132,5,Topic 05,0.2
132,5,Topic 06,0.0875
132,5,Topic 07,0.28250000000000003
132,5,Topic 08,0.1075
132,5,Topic 09,0.025
132,5,Topic 10,0.395
132,5,Topic 11,0.3241666666666666
132,5,Topic 12,0.0
132,5,Topic 13,0.6533333333333334
132,5,Topic 14,0.1375
132,5,Topic 15,0.12916666666666665
132,5,Topic 16,0.0
132,5,Topic 17,0.4041666666666667
132,5,Topic 18,0.16666666666666666
132,5,Topic 19,0.0
132,5,Topic 20,0.21666666666666667
